1	N	48
1	J	48
0	J	48
1	R	48
2	N	49
2	J	49
1	W	49
2	R	49
3	N	63
3	J	64
2	J	64
3	R	64
3	W	68
2	R	68
2	E	73
1	J	73
1	R	73
4	N	74
4	J	74
1	W	74
4	R	74
5	N	106
5	J	107
4	W	107
5	R	107
4	J	109
5	E	110
4	R	110
4	W	115
0	R	115
4	J	331
4	R	331
4	W	332
0	R	332
4	J	375
4	R	375
4	W	376
0	R	376
4	J	382
4	R	382
4	W	382
0	R	383
4	J	442
4	R	442
6	N	444
6	J	445
4	W	445
6	R	445
6	E	451
4	J	451
4	R	451
7	N	452
7	J	452
4	W	453
7	R	453
4	J	455
7	E	455
4	R	455
4	W	456
0	R	456
4	J	471
4	R	471
4	W	471
0	R	471
4	J	531
4	R	531
4	W	532
0	R	532
4	J	555
4	R	555
4	W	555
0	R	555
4	J	597
4	R	597
4	W	597
0	R	597
4	J	631
4	R	631
4	W	631
0	R	631
4	J	1035
4	R	1035
4	W	1035
0	R	1035
4	J	1064
4	R	1064
4	W	1064
0	R	1064
4	J	1096
4	R	1097
4	W	1102
0	R	1102
4	J	1143
4	R	1143
4	W	1143
0	R	1143
4	J	1371
4	R	1371
8	N	1372
8	J	1372
4	W	1373
8	R	1373
9	N	1374
9	J	1375
10	N	1375
10	J	1376
8	W	1377
10	R	1377
10	J	1392
9	R	1392
9	J	1407
10	R	1407
10	J	1422
9	R	1422
9	J	1437
10	R	1437
10	J	1452
9	R	1452
9	J	1467
10	R	1467
10	J	1482
9	R	1482
9	J	1497
10	R	1497
10	J	1512
9	R	1512
9	J	1527
10	R	1527
10	J	1542
9	R	1542
9	J	1557
10	R	1557
10	W	1567
9	R	1567
10	J	1672
9	J	1672
10	R	1672
10	W	1672
9	R	1672
10	J	1777
9	J	1777
10	R	1777
10	J	1821
9	R	1821
9	W	1821
10	R	1821
10	W	1877
0	R	1877
9	J	1922
9	R	1922
9	W	1922
0	R	1922
10	J	1978
10	R	1978
10	W	1978
0	R	1978
9	J	2023
9	R	2023
10	J	2082
9	J	2082
10	R	2082
10	E	2082
8	J	2082
8	R	2082
8	W	2082
9	R	2082
9	W	2323
0	R	2323
9	J	2424
9	R	2424
9	W	2424
0	R	2424
9	J	2525
9	R	2525
9	E	2525
8	J	2525
8	R	2525
8	E	2526
4	J	2526
4	R	2526
11	N	2526
11	J	2527
4	W	2527
11	R	2527
4	J	2529
11	E	2530
4	R	2530
4	W	2530
0	R	2530
3	J	3067
3	R	3067
3	W	3067
0	R	3067
4	J	4274
4	R	4274
4	W	4274
0	R	4274
4	J	4345
4	R	4345
4	W	4345
0	R	4345
4	J	4369
4	R	4369
4	W	4369
0	R	4369
4	J	4388
4	R	4388
4	W	4388
0	R	4388
4	J	4421
4	R	4421
4	W	4421
0	R	4421
4	J	4458
4	R	4458
4	W	4459
0	R	4459
4	J	4473
4	R	4473
4	W	4473
0	R	4473
4	J	4529
4	R	4529
4	W	4529
0	R	4529
4	J	4584
4	R	4584
12	N	4585
12	J	4586
4	W	4586
12	R	4586
